Place,Dish Name,Estimated_Price_INR,Calories (kcal),Protein (g),Carbohydrates (g),Fats (g)
Generic/Average Restaurant,Wheat flakes,120,112.44,3.62,15.57,3.99
Generic/Average Restaurant,Murmura (Puffed rice),150,113.32,3.62,15.67,4.04
Generic/Average Restaurant,Puffed wheat (Murmure/Moori),120,113.32,3.62,15.67,4.04
Generic/Average Restaurant,Boiled egg (Ubla anda),300,45.35,4.43,0.12,3.04
Generic/Average Restaurant,Fried Egg ,300,223.67,11.59,0.31,19.62
Generic/Average Restaurant,Poached egg,300,123.87,11.98,0.37,8.19
Generic/Average Restaurant,Scrambled egg (Ande ki bhurji),300,155.97,10.29,1.35,12.21
Generic/Average Restaurant,Baked egg ,300,218.85,11.88,15.42,12.65
Generic/Average Restaurant,Plain omelette/omlet,120,272.41,9.66,0.64,25.74
Generic/Average Restaurant,Stuffed egg omelette/omlet,300,203.51,8.6,2.3,17.77
Generic/Average Restaurant,Pancake,80,203.36,5.68,20.49,10.82
Generic/Average Restaurant,Keema pancake,300,176.27,9.01,9.56,11.25
Generic/Average Restaurant,Vegetable pancake,180,125.18,3.87,12.24,6.57
Generic/Average Restaurant,Jam and fruit pancake,80,162.02,3.79,20.73,7.01
Generic/Average Restaurant,Khoa and coconut pancake,80,271.98,6.98,27.32,15.29
Generic/Average Restaurant,Brown stock,120,21.32,1.95,0.25,1.38
Generic/Average Restaurant,Vegetable stock,180,17.6,0.3,0.96,1.38
Generic/Average Restaurant,Chicken stock,300,29.88,3.69,0.37,1.51
Generic/Average Restaurant,Clear tomato soup (Tamatar ka soup),40,80.07,4.79,3.45,12.22
Generic/Average Restaurant,Lentil soup,40,31.17,9.65,3.94,11.68
Generic/Average Restaurant,Chicken consomme (Clear chicken soup),40,47.94,11.47,1.19,12.02
Generic/Average Restaurant,Cream of tomato soup,40,97.81,4.61,3.93,13.12
Generic/Average Restaurant,Cream of green peas soup,40,127.84,7.13,6.75,14.78
Generic/Average Restaurant,Cream of spinach soup,40,100.54,5.21,3.45,13.31
Generic/Average Restaurant,Cream of mixed vegetable soup,40,59.65,6.84,4.93,9.05
Generic/Average Restaurant,Cream of mushroom soup,40,117.28,6.64,3.74,15.5
Generic/Average Restaurant,Chicken sweet corn soup,40,28.32,14.48,1.63,12.59
Generic/Average Restaurant,Minestrone soup,40,42.66,9.3,3.71,11.09
Generic/Average Restaurant,Egg drop soup,40,26.64,12.93,1.1,13.52
Generic/Average Restaurant,Chinese cabbage and meat ball soup,40,484.31,5.21,1.43,56.57
Generic/Average Restaurant,French onion soup,40,55.61,11.41,4.28,14.39
Generic/Average Restaurant,Hot and sour soup,40,31.51,3.12,1.78,1.31
Generic/Average Restaurant,Talaumein soup,40,35.63,10.12,4.17,12.78
Generic/Average Restaurant,Cold cucumber soup (Thanda kheere ka soup),40,48.03,2.99,4.58,1.99
Generic/Average Restaurant,Cold summer garden soup,40,49.19,8.57,2.65,14.08
Generic/Average Restaurant,Chapati/Roti,30,202.31,5.88,35.65,3.56
Generic/Average Restaurant,Plain parantha/paratha,30,298.3,5.06,30.69,16.86
Generic/Average Restaurant,Potato parantha/paratha (Aloo ka parantha/paratha),30,205.04,3.7,23.92,10.22
Generic/Average Restaurant,Radish parantha/paratha (Mooli ka parantha/paratha),30,183.52,3.3,20.54,9.53
Generic/Average Restaurant,Cauliflower parantha/paratha (Phoolgobhi ka parantha/paratha),30,178.07,3.73,18.84,9.47
Generic/Average Restaurant,Dal parantha/paratha,30,268.24,6.78,30.03,13.05
Generic/Average Restaurant,Sprouted moong parantha/paratha,30,228.59,4.29,24.31,12.43
Generic/Average Restaurant,Pea parantha/paratha (Matar ka parantha/paratha),30,190.73,5.59,21.51,8.8
Generic/Average Restaurant,Keema parantha/paratha,30,238.09,9.41,18.36,13.91
Generic/Average Restaurant,Paneer parantha/paratha,80,262.97,7.98,24.33,14.62
Generic/Average Restaurant,Besan and spinach parantha/paratha (Besan aur palak ka parantha/paratha),30,216.49,5.54,21.39,12.09
Generic/Average Restaurant,Poori,120,737.63,1.35,8.22,77.61
Generic/Average Restaurant,Spinach poori (Palak poori),120,684.25,1.42,7.76,71.86
Generic/Average Restaurant,Methi poori,120,710.02,1.45,7.98,74.6
Generic/Average Restaurant,Dal stuffed poori,180,785.16,2.08,10.14,81.69
Generic/Average Restaurant,Potato stuffed poori (Aloo ki poori),180,776.74,1.52,9.4,81.35
Generic/Average Restaurant,Tandoori parantha/paratha,30,295.37,5.08,30.74,16.51
Generic/Average Restaurant,Boiled rice (Uble chawal),150,117.19,2.6,25.72,0.18
Generic/Average Restaurant,Plain pulao,150,140.21,2.34,21.82,4.62
Generic/Average Restaurant,Mixed vegetable pulao,150,113.05,2.72,17.49,3.33
Generic/Average Restaurant,Mushroom pulao,150,124.29,2.52,19.02,4.03
Generic/Average Restaurant,Sprouted moong pulao,150,112.97,2.19,17.49,3.61
Generic/Average Restaurant,Paneer pulao,150,581.91,1.98,8.76,59.81
Generic/Average Restaurant,Peanut pulao ,150,193.28,5.32,21.18,9.51
Generic/Average Restaurant,Navratan pulao,150,261.71,6.2,36.98,9.45
Generic/Average Restaurant,Green chickpeas pulao (Choliya pulao/Hare chane ka pulao),150,173.43,4.88,27.57,4.82
Generic/Average Restaurant,Mutton biryani/biriyani,250,190.76,7.38,22.5,7.72
